収支区分,管理番号,発生日,支払期日,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,支払日,支払口座,支払金額
収入,,2026/01/20,2026/02/28,テストクライアント,売上高,課対売上10%,364768,内税,33161,,テスト受託開発,,,2026/02/28,テスト銀行 事業,364768
支出,,2026/01/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/01/05,事業主借,3000
支出,,2026/01/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/01/05,事業主借,1800
支出,,2026/01/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/01/05,事業主借,6480
支出,,2026/01/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/01/05,事業主借,1200
支出,,2026/01/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/01/28,テスト銀行 事業,400
支出,,2026/01/15,,テスト書籍,新聞図書費,課対仕入10%,2270,内税,206,,テスト技術書,,,2026/01/28,テスト銀行 事業,2270
支出,,2026/01/05,,テスト交通,旅費交通費,課対仕入10%,16100,内税,1464,,テスト移動費,,,2026/01/28,テスト銀行 事業,16100
支出,,2026/01/13,,テストカフェ,会議費,課対仕入10%,1828,内税,166,,テスト打合せ,,,2026/01/28,テスト銀行 事業,1828
支出,,2026/01/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/01/28,テスト銀行 事業,5000
支出,,2026/01/11,,テストセミナー,研修費,課対仕入10%,15666,内税,1424,,テスト研修受講,,,2026/01/28,テスト銀行 事業,15666
支出,,2026/01/20,,テスト事務用品,消耗品費,課対仕入10%,8155,内税,741,,テスト備品,,,2026/01/28,テスト銀行 事業,8155
支出,,2026/01/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/01/28,テスト銀行 事業,450
収入,,2026/02/20,2026/03/28,テストクライアント,売上高,課対売上10%,387328,内税,35212,,テスト受託開発,,,2026/03/28,テスト銀行 事業,387328
支出,,2026/02/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/02/05,事業主借,3000
支出,,2026/02/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/02/05,事業主借,1800
支出,,2026/02/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/02/05,事業主借,6480
支出,,2026/02/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/02/05,事業主借,1200
支出,,2026/02/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/02/28,テスト銀行 事業,400
支出,,2026/02/15,,テスト書籍,新聞図書費,課対仕入10%,1890,内税,172,,テスト技術書,,,2026/02/28,テスト銀行 事業,1890
支出,,2026/02/11,,テスト交通,旅費交通費,課対仕入10%,23726,内税,2157,,テスト移動費,,,2026/02/28,テスト銀行 事業,23726
支出,,2026/02/18,,テストカフェ,会議費,課対仕入10%,2053,内税,187,,テスト打合せ,,,2026/02/28,テスト銀行 事業,2053
支出,,2026/02/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/02/28,テスト銀行 事業,5000
支出,,2026/02/12,,テストセミナー,研修費,課対仕入10%,13927,内税,1266,,テスト研修受講,,,2026/02/28,テスト銀行 事業,13927
支出,,2026/02/11,,テスト事務用品,消耗品費,課対仕入10%,8086,内税,735,,テスト備品,,,2026/02/28,テスト銀行 事業,8086
支出,,2026/02/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/02/28,テスト銀行 事業,450
収入,,2026/03/20,2026/04/28,テストクライアント,売上高,課対売上10%,620000,内税,56364,,テスト受託開発,,,2026/04/28,テスト銀行 事業,620000
支出,,2026/03/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/03/05,事業主借,3000
支出,,2026/03/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/03/05,事業主借,1800
支出,,2026/03/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/03/05,事業主借,6480
支出,,2026/03/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/03/05,事業主借,1200
支出,,2026/03/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/03/28,テスト銀行 事業,400
支出,,2026/03/12,,テスト書籍,新聞図書費,課対仕入10%,2167,内税,197,,テスト技術書,,,2026/03/28,テスト銀行 事業,2167
支出,,2026/03/23,,テスト交通,旅費交通費,課対仕入10%,14378,内税,1307,,テスト移動費,,,2026/03/28,テスト銀行 事業,14378
支出,,2026/03/14,,テストカフェ,会議費,課対仕入10%,1689,内税,154,,テスト打合せ,,,2026/03/28,テスト銀行 事業,1689
支出,,2026/03/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/03/28,テスト銀行 事業,5000
支出,,2026/03/15,,テストセミナー,研修費,課対仕入10%,14790,内税,1345,,テスト研修受講,,,2026/03/28,テスト銀行 事業,14790
支出,,2026/03/16,,テスト事務用品,消耗品費,課対仕入10%,8571,内税,779,,テスト備品,,,2026/03/28,テスト銀行 事業,8571
支出,,2026/03/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/03/28,テスト銀行 事業,450
収入,,2026/04/20,2026/05/28,テストクライアント,売上高,課対売上10%,369388,内税,33581,,テスト受託開発,,,2026/05/28,テスト銀行 事業,369388
支出,,2026/04/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/04/05,事業主借,3000
支出,,2026/04/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/04/05,事業主借,1800
支出,,2026/04/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/04/05,事業主借,6480
支出,,2026/04/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/04/05,事業主借,1200
支出,,2026/04/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/04/28,テスト銀行 事業,400
支出,,2026/04/18,,テスト書籍,新聞図書費,課対仕入10%,2633,内税,239,,テスト技術書,,,2026/04/28,テスト銀行 事業,2633
支出,,2026/04/18,,テスト交通,旅費交通費,課対仕入10%,15413,内税,1401,,テスト移動費,,,2026/04/28,テスト銀行 事業,15413
支出,,2026/04/06,,テストカフェ,会議費,課対仕入10%,1881,内税,171,,テスト打合せ,,,2026/04/28,テスト銀行 事業,1881
支出,,2026/04/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/04/28,テスト銀行 事業,5000
支出,,2026/04/07,,テストセミナー,研修費,課対仕入10%,9302,内税,846,,テスト研修受講,,,2026/04/28,テスト銀行 事業,9302
支出,,2026/04/17,,テスト事務用品,消耗品費,課対仕入10%,6652,内税,605,,テスト備品,,,2026/04/28,テスト銀行 事業,6652
支出,,2026/04/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/04/28,テスト銀行 事業,450
収入,,2026/05/20,2026/06/28,テストクライアント,売上高,課対売上10%,387748,内税,35250,,テスト受託開発,,,2026/06/28,テスト銀行 事業,387748
支出,,2026/05/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/05/05,事業主借,3000
支出,,2026/05/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/05/05,事業主借,1800
支出,,2026/05/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/05/05,事業主借,6480
支出,,2026/05/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/05/05,事業主借,1200
支出,,2026/05/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/05/28,テスト銀行 事業,400
支出,,2026/05/18,,テスト書籍,新聞図書費,課対仕入10%,2013,内税,183,,テスト技術書,,,2026/05/28,テスト銀行 事業,2013
支出,,2026/05/18,,テスト交通,旅費交通費,課対仕入10%,21973,内税,1998,,テスト移動費,,,2026/05/28,テスト銀行 事業,21973
支出,,2026/05/17,,テストカフェ,会議費,課対仕入10%,1472,内税,134,,テスト打合せ,,,2026/05/28,テスト銀行 事業,1472
支出,,2026/05/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/05/28,テスト銀行 事業,5000
支出,,2026/05/21,,テストセミナー,研修費,課対仕入10%,10836,内税,985,,テスト研修受講,,,2026/05/28,テスト銀行 事業,10836
支出,,2026/05/16,,テスト事務用品,消耗品費,課対仕入10%,11471,内税,1043,,テスト備品,,,2026/05/28,テスト銀行 事業,11471
支出,,2026/05/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/05/28,テスト銀行 事業,450
収入,,2026/06/20,2026/07/28,テストクライアント,売上高,課対売上10%,620000,内税,56364,,テスト受託開発,,,2026/07/28,テスト銀行 事業,620000
支出,,2026/06/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/06/05,事業主借,3000
支出,,2026/06/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/06/05,事業主借,1800
支出,,2026/06/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/06/05,事業主借,6480
支出,,2026/06/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/06/05,事業主借,1200
支出,,2026/06/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/06/28,テスト銀行 事業,400
支出,,2026/06/17,,テスト書籍,新聞図書費,課対仕入10%,2212,内税,201,,テスト技術書,,,2026/06/28,テスト銀行 事業,2212
支出,,2026/06/19,,テスト交通,旅費交通費,課対仕入10%,14694,内税,1336,,テスト移動費,,,2026/06/28,テスト銀行 事業,14694
支出,,2026/06/22,,テストカフェ,会議費,課対仕入10%,2037,内税,185,,テスト打合せ,,,2026/06/28,テスト銀行 事業,2037
支出,,2026/06/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/06/28,テスト銀行 事業,5000
支出,,2026/06/17,,テストセミナー,研修費,課対仕入10%,15432,内税,1403,,テスト研修受講,,,2026/06/28,テスト銀行 事業,15432
支出,,2026/06/24,,テスト事務用品,消耗品費,課対仕入10%,7859,内税,714,,テスト備品,,,2026/06/28,テスト銀行 事業,7859
支出,,2026/06/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/06/28,テスト銀行 事業,450
収入,,2026/07/20,2026/08/28,テストクライアント,売上高,課対売上10%,365332,内税,33212,,テスト受託開発,,,,,
支出,,2026/07/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/07/05,事業主借,3000
支出,,2026/07/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/07/05,事業主借,1800
支出,,2026/07/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/07/05,事業主借,6480
支出,,2026/07/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/07/05,事業主借,1200
支出,,2026/07/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/07/28,テスト銀行 事業,400
支出,,2026/07/12,,テスト書籍,新聞図書費,課対仕入10%,2067,内税,188,,テスト技術書,,,2026/07/28,テスト銀行 事業,2067
支出,,2026/07/15,,テスト交通,旅費交通費,課対仕入10%,23070,内税,2097,,テスト移動費,,,2026/07/28,テスト銀行 事業,23070
支出,,2026/07/07,,テストカフェ,会議費,課対仕入10%,1402,内税,127,,テスト打合せ,,,2026/07/28,テスト銀行 事業,1402
支出,,2026/07/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/07/28,テスト銀行 事業,5000
支出,,2026/07/20,,テストセミナー,研修費,課対仕入10%,11475,内税,1043,,テスト研修受講,,,2026/07/28,テスト銀行 事業,11475
支出,,2026/07/24,,テスト事務用品,消耗品費,課対仕入10%,10759,内税,978,,テスト備品,,,2026/07/28,テスト銀行 事業,10759
支出,,2026/07/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/07/28,テスト銀行 事業,450
収入,,2026/08/20,2026/09/28,テストクライアント,売上高,課対売上10%,382000,内税,34727,,テスト受託開発,,,,,
支出,,2026/08/05,,テストAI,通信費,課対仕入10%,3000,内税,273,,テストLLMサブスク,,,2026/08/05,事業主借,3000
支出,,2026/08/05,,テスト開発,通信費,課対仕入10%,1800,内税,164,,テスト開発サブスク,,,2026/08/05,事業主借,1800
支出,,2026/08/05,,テスト制作,通信費,課対仕入10%,6480,内税,589,,テスト制作サブスク,,,2026/08/05,事業主借,6480
支出,,2026/08/05,,テスト業務,通信費,課対仕入10%,1200,内税,109,,テスト業務サブスク,,,2026/08/05,事業主借,1200
支出,,2026/08/05,,テストクラウド,通信費,課対仕入10%,400,内税,36,,テストストレージ,,,2026/08/28,テスト銀行 事業,400
支出,,2026/08/13,,テスト書籍,新聞図書費,課対仕入10%,2108,内税,192,,テスト技術書,,,2026/08/28,テスト銀行 事業,2108
支出,,2026/08/15,,テスト交通,旅費交通費,課対仕入10%,14510,内税,1319,,テスト移動費,,,2026/08/28,テスト銀行 事業,14510
支出,,2026/08/21,,テストカフェ,会議費,課対仕入10%,1596,内税,145,,テスト打合せ,,,2026/08/28,テスト銀行 事業,1596
支出,,2026/08/05,,テスト商工団体,交際費,対象外,5000,内税,0,,テスト団体会費,,,2026/08/28,テスト銀行 事業,5000
支出,,2026/08/18,,テストセミナー,研修費,課対仕入10%,12373,内税,1125,,テスト研修受講,,,2026/08/28,テスト銀行 事業,12373
支出,,2026/08/18,,テスト事務用品,消耗品費,課対仕入10%,6733,内税,612,,テスト備品,,,2026/08/28,テスト銀行 事業,6733
支出,,2026/08/15,,テスト決済,支払手数料,非課仕入,450,内税,0,,テスト事務手数料,,,2026/08/28,テスト銀行 事業,450
